                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.63449,                0.54706,                 1.0114,                0.94254,                0.94765,                0.98121,                0.84464,                0.56028,                0.48468,                0.90382,              0.0098357,              0.0098357,              0.0098357
                     85,                0.65279,                0.54836,                 1.0286,                0.95229,                0.93599,                0.98369,                0.85888,                0.53201,                0.38581,                  0.886,              0.0098337,              0.0098337,              0.0098337
                     86,                0.64459,                0.52677,                 1.0073,                0.94858,                 0.9616,                0.98628,                0.85602,                0.55977,                0.39198,                 0.9057,              0.0098317,              0.0098317,              0.0098317
                     87,                0.64679,                0.53406,                 1.0257,                0.95149,                0.93998,                0.98382,                0.85886,                0.53935,                0.37562,                 0.8832,              0.0098297,              0.0098297,              0.0098297
                     88,                0.62789,                0.53749,                 1.0103,                0.93951,                0.94553,                0.98133,                0.84213,                 0.5483,                0.42993,                 0.8884,              0.0098277,              0.0098277,              0.0098277
                     89,                0.61437,                 0.4964,                0.99857,                 0.9592,                0.92367,                0.98214,                0.85563,                0.54486,                0.37271,                0.88596,              0.0098258,              0.0098258,              0.0098258
                     90,                0.63599,                0.51865,                 1.0155,                0.94288,                0.94888,                0.98354,                0.85247,                0.54425,                0.38118,                0.88876,              0.0098238,              0.0098238,              0.0098238
                     91,                0.64589,                0.53334,                 1.0159,                0.95412,                0.92978,                0.98274,                0.85027,                0.55173,                0.39017,                0.88585,              0.0098218,              0.0098218,              0.0098218
                     92,                0.61381,                0.52519,                0.99484,                0.94512,                 0.9522,                0.98381,                 0.8498,                0.54381,                0.37683,                0.88653,              0.0098198,              0.0098198,              0.0098198
                     93,                0.62921,                0.52881,                 1.0122,                 0.9549,                 0.9482,                0.98473,                0.85771,                0.55004,                0.38588,                0.89421,              0.0098178,              0.0098178,              0.0098178
                     94,                0.64734,                0.54215,                 1.0246,                0.93867,                0.94425,                0.97944,                0.85524,                0.54781,                0.37588,                0.89065,              0.0098159,              0.0098159,              0.0098159
                     95,                0.63733,                0.51271,                 1.0102,                 0.9523,                0.95305,                0.98689,                0.85113,                0.54921,                0.38539,                0.89379,              0.0098139,              0.0098139,              0.0098139
                     96,                 0.6416,                0.52312,                 1.0153,                0.95124,                0.94909,                0.98061,                0.84861,                0.53932,                0.46464,                0.87908,              0.0098119,              0.0098119,              0.0098119
